Brand Name,Smartphone Name,Color,RAM,Storage/ROM,Primary Camera,Secondary Camera,Display Size,Display Resolution,Processor,Processor-Core,Battery Capacity,Price,Product Url
realme ,"realme C21Y (Cross Black, 64 GB)  (4 GB RAM)",Cross Black,4 GB,64 GB,13MP + 2MP + 2MP,5MP Front Camera,16.51 cm (6.5 inch),1600 x 720 Pixels,Unisoc T610,Octa Core,5000 mAh Battery,"Rs. 9,999",https://www.flipkart.com/realme-c21y-cross-black-64-gb/p/itm2a2e4f7554a21?pid=MOBG5ZGKQVSRBYGJ&lid=LSTMOBG5ZGKQVSRBYGJZUGRLX&marketplace=FLIPKART&q=Smartphones&store=tyy%2F4io&srno=s_1_1&otracker=search&otracker1=search&fm=SEARCH&iid=080d1fe3-6dbc-478f-97a2-0e341d4f6308.MOBG5ZGKQVSRBYGJ.SEARCH&ppt=hp&ppn=homepage&ssid=n19k5a2ats0000001634871336575&qH=d2d7ba3c0ae30d4a
realme ,"realme C21Y (Cross Blue, 32 GB)  (3 GB RAM)",Cross Blue,3 GB,32 GB,13MP + 2MP + 2MP,5MP Front Camera,16.51 cm (6.5 inch),1600 x 720 Pixels,Unisoc T610,Octa Core,5000 mAh Battery,"Rs. 8,999",https://www.flipkart.com/realme-c21y-cross-blue-32-gb/p/itm2a2e4f7554a21?pid=MOBG5ZGKXCGFB9HP&lid=LSTMOBG5ZGKXCGFB9HP72DW1X&marketplace=FLIPKART&q=Smartphones&store=tyy%2F4io&srno=s_1_2&otracker=search&otracker1=search&fm=SEARCH&iid=080d1fe3-6dbc-478f-97a2-0e341d4f6308.MOBG5ZGKXCGFB9HP.SEARCH&ppt=hp&ppn=homepage&ssid=n19k5a2ats0000001634871336575&qH=d2d7ba3c0ae30d4a
realme ,"realme C21Y (Cross Blue, 64 GB)  (4 GB RAM)",Cross Blue,4 GB,64 GB,13MP + 2MP + 2MP,5MP Front Camera,16.51 cm (6.5 inch),1600 x 720 Pixels,Unisoc T610,Octa Core,5000 mAh Battery,"Rs. 9,999",https://www.flipkart.com/realme-c21y-cross-blue-64-gb/p/itm2a2e4f7554a21?pid=MOBG5ZGKRUBBZFBR&lid=LSTMOBG5ZGKRUBBZFBRXORTMH&marketplace=FLIPKART&q=Smartphones&store=tyy%2F4io&srno=s_1_3&otracker=search&otracker1=search&fm=SEARCH&iid=080d1fe3-6dbc-478f-97a2-0e341d4f6308.MOBG5ZGKRUBBZFBR.SEARCH&ppt=hp&ppn=homepage&ssid=n19k5a2ats0000001634871336575&qH=d2d7ba3c0ae30d4a
OPPO ,"OPPO A54 (Moonlight Gold, 64 GB)  (4 GB RAM)",Moonlight Gold,4 GB,64 GB,13MP + 2MP + 2MP,16MP Front Camera,16.54 cm (6.51 inch),1600 x 720 Pixels,MediaTek Helio P35,Octa Core,5000 mAh Battery,"Rs. 14,990",https://www.flipkart.com/oppo-a54-moonlight-gold-64-gb/p/itm2c71eaacf710e?pid=MOBG23KTPZCR9ZA3&lid=LSTMOBG23KTPZCR9ZA3PACQPB&marketplace=FLIPKART&q=Smartphones&store=tyy%2F4io&srno=s_1_4&otracker=search&otracker1=search&fm=SEARCH&iid=en_q0ZZOu4WC7ulX98hWuKjiT13rusz1LSWhORSVY8X6GyZnS%2Fqh61uzh0RLlKu39LtBKyEVohPrucwoqFdJVj0cA%3D%3D&ppt=hp&ppn=homepage&ssid=n19k5a2ats0000001634871336575&qH=d2d7ba3c0ae30d4a
realme ,"realme C11 2021 (Cool Blue, 32 GB)  (2 GB RAM)",Cool Blue,2 GB,32 GB,8MP Rear Camera,5MP Front Camera,16.51 cm (6.5 inch),1600 x 720 Pixels,Octa-core,Octa Core,5000 mAh Battery,"Rs. 6,599",https://www.flipkart.com/realme-c11-2021-cool-blue-32-gb/p/itmbd856acb97c38?pid=MOBG4BEG3HG78BDG&lid=LSTMOBG4BEG3HG78BDGLL8WZW&marketplace=FLIPKART&q=Smartphones&store=tyy%2F4io&srno=s_1_5&otracker=search&otracker1=search&fm=SEARCH&iid=080d1fe3-6dbc-478f-97a2-0e341d4f6308.MOBG4BEG3HG78BDG.SEARCH&ppt=hp&ppn=homepage&ssid=n19k5a2ats0000001634871336575&qH=d2d7ba3c0ae30d4a
realme ,"realme C11 2021 (Cool Grey, 32 GB)  (2 GB RAM)",Cool Grey,2 GB,32 GB,8MP Rear Camera,5MP Front Camera,16.51 cm (6.5 inch),1600 x 720 Pixels,Octa-core,Octa Core,5000 mAh Battery,"Rs. 6,599",https://www.flipkart.com/realme-c11-2021-cool-grey-32-gb/p/itmbd856acb97c38?pid=MOBG4BEGX8QYNKGZ&lid=LSTMOBG4BEGX8QYNKGZMUPPAI&marketplace=FLIPKART&q=Smartphones&store=tyy%2F4io&srno=s_1_6&otracker=search&otracker1=search&fm=SEARCH&iid=080d1fe3-6dbc-478f-97a2-0e341d4f6308.MOBG4BEGX8QYNKGZ.SEARCH&ppt=hp&ppn=homepage&ssid=n19k5a2ats0000001634871336575&qH=d2d7ba3c0ae30d4a
realme ,"realme C11 2021 (Cool Blue, 64 GB)  (4 GB RAM)",Cool Blue,4 GB,64 GB,8MP Rear Camera,5MP Front Camera,16.51 cm (6.5 inch),1600 x 720 Pixels,Octa-core,Octa Core,5000 mAh Battery,"Rs. 7,999",https://www.flipkart.com/realme-c11-2021-cool-blue-64-gb/p/itmbd856acb97c38?pid=MOBG5BCDBHPYMT5B&lid=LSTMOBG5BCDBHPYMT5BR54QOY&marketplace=FLIPKART&q=Smartphones&store=tyy%2F4io&srno=s_1_7&otracker=search&otracker1=search&fm=SEARCH&iid=080d1fe3-6dbc-478f-97a2-0e341d4f6308.MOBG5BCDBHPYMT5B.SEARCH&ppt=hp&ppn=homepage&ssid=n19k5a2ats0000001634871336575&qH=d2d7ba3c0ae30d4a
OPPO ,"OPPO Reno6 Pro 5G (Stellar Black, 256 GB)  (12 GB RAM)",Stellar Black,12 GB,256 GB,64MP + 8MP + 2MP + 2MP,32MP Front Camera,16.64 cm (6.55 inch),2400 x 1080 Pixels,MediaTek Dimensity 1200,Octa Core,5000 mAh Battery,"Rs. 39,990",https://www.flipkart.com/oppo-reno6-pro-5g-stellar-black-256-gb/p/itm105fdede3d67b?pid=MOBG4GGZF8YEQQGK&lid=LSTMOBG4GGZF8YEQQGKOKSCLW&marketplace=FLIPKART&q=Smartphones&store=tyy%2F4io&srno=s_1_8&otracker=search&otracker1=search&fm=SEARCH&iid=en_q0ZZOu4WC7ulX98hWuKjiT13rusz1LSWhORSVY8X6GxgBzB1yF1r8hg%2FD4JSto69mNUGl%2BWB%2B1S6L9CXK2%2FFfg%3D%3D&ppt=hp&ppn=homepage&ssid=n19k5a2ats0000001634871336575&qH=d2d7ba3c0ae30d4a
realme ,"realme C11 2021 (Cool Grey, 64 GB)  (4 GB RAM)",Cool Grey,4 GB,64 GB,8MP Rear Camera,5MP Front Camera,16.51 cm (6.5 inch),1600 x 720 Pixels,Octa-core,Octa Core,5000 mAh Battery,"Rs. 7,999",https://www.flipkart.com/realme-c11-2021-cool-grey-64-gb/p/itmbd856acb97c38?pid=MOBG5BCDJ68N57TH&lid=LSTMOBG5BCDJ68N57THWJHNPW&marketplace=FLIPKART&q=Smartphones&store=tyy%2F4io&srno=s_1_9&otracker=search&otracker1=search&fm=SEARCH&iid=080d1fe3-6dbc-478f-97a2-0e341d4f6308.MOBG5BCDJ68N57TH.SEARCH&ppt=hp&ppn=homepage&ssid=n19k5a2ats0000001634871336575&qH=d2d7ba3c0ae30d4a
APPLE ,"APPLE iPhone 12 (White, 128 GB)",White,-,128 GB,12MP + 12MP,12MP Front Camera,15.49 cm (6.1 inch),2532 x 1170 Pixels,A14 Bionic Chip with Next Generation Neural Engine,-,5000 mAh Battery,"Rs. 60,199",https://www.flipkart.com/apple-iphone-12-white-128-gb/p/itm95393f4c6cc59?pid=MOBFWBYZBTZFGJF9&lid=LSTMOBFWBYZBTZFGJF9AXUVLJ&marketplace=FLIPKART&q=Smartphones&store=tyy%2F4io&srno=s_1_10&otracker=search&otracker1=search&fm=SEARCH&iid=080d1fe3-6dbc-478f-97a2-0e341d4f6308.MOBFWBYZBTZFGJF9.SEARCH&ppt=hp&ppn=homepage&ssid=n19k5a2ats0000001634871336575&qH=d2d7ba3c0ae30d4a
POCO ,"POCO M3 (Cool Blue, 64 GB)  (6 GB RAM)",Cool Blue,6 GB,64 GB,48MP + 2MP + 2MP,8MP Front Camera,16.59 cm (6.53 inch),2340 x 1080 Pixels,Qualcomm Snapdragon 662,Octa Core,5000 mAh Battery,"Rs. 11,499",https://www.flipkart.com/poco-m3-cool-blue-64-gb/p/itmc8ec867cb0472?pid=MOBFZTCUDDCTDN3G&lid=LSTMOBFZTCUDDCTDN3GJBLKQ8&marketplace=FLIPKART&q=Smartphones&store=tyy%2F4io&srno=s_1_11&otracker=search&otracker1=search&fm=SEARCH&iid=080d1fe3-6dbc-478f-97a2-0e341d4f6308.MOBFZTCUDDCTDN3G.SEARCH&ppt=hp&ppn=homepage&ssid=n19k5a2ats0000001634871336575&qH=d2d7ba3c0ae30d4a
OPPO ,"OPPO F19 Pro (Crystal Silver, 128 GB)  (8 GB RAM)",Crystal Silver,8 GB,128 GB,48MP + 8MP + 2MP + 2MP,16MP Front Camera,16.33 cm (6.43 inch),2400 x 1080 Pixels,MediaTek Helio P95 (MT6779V),Octa Core,5000 mAh Battery,"Rs. 21,990",https://www.flipkart.com/oppo-f19-pro-crystal-silver-128-gb/p/itmf3153ba8dbf1a?pid=MOBGYV9VEMHYEQAA&lid=LSTMOBGYV9VEMHYEQAANMI9U7&marketplace=FLIPKART&q=Smartphones&store=tyy%2F4io&srno=s_1_12&otracker=search&otracker1=search&fm=SEARCH&iid=en_q0ZZOu4WC7ulX98hWuKjiT13rusz1LSWhORSVY8X6GzrryhxO%2FuZ00SpLPg3s%2FvPMuE%2BOxtVHA1k9pJCV0%2FZSw%3D%3D&ppt=hp&ppn=homepage&ssid=n19k5a2ats0000001634871336575&qH=d2d7ba3c0ae30d4a
realme ,"realme Narzo 50A (Oxygen Blue, 128 GB)  (4 GB RAM)",Oxygen Blue,4 GB,128 GB,50MP + 2MP + 2MP,8MP Front Camera,16.51 cm (6.5 inch),1600 x 720 Pixels,MediaTek Helio G85,Octa Core,5000 mAh Battery,"Rs. 12,499",https://www.flipkart.com/realme-narzo-50a-oxygen-blue-128-gb/p/itm81d679403c2b4?pid=MOBG6MY4JGHHADW8&lid=LSTMOBG6MY4JGHHADW8WRSXX9&marketplace=FLIPKART&q=Smartphones&store=tyy%2F4io&srno=s_1_13&otracker=search&otracker1=search&fm=SEARCH&iid=080d1fe3-6dbc-478f-97a2-0e341d4f6308.MOBG6MY4JGHHADW8.SEARCH&ppt=hp&ppn=homepage&ssid=n19k5a2ats0000001634871336575&qH=d2d7ba3c0ae30d4a
realme ,"realme Narzo 50A (Oxygen Blue, 64 GB)  (4 GB RAM)",Oxygen Blue,4 GB,64 GB,50MP + 2MP + 2MP,8MP Front Camera,16.51 cm (6.5 inch),1600 x 720 Pixels,MediaTek Helio G85,Octa Core,5000 mAh Battery,"Rs. 11,499",https://www.flipkart.com/realme-narzo-50a-oxygen-blue-64-gb/p/itm81d679403c2b4?pid=MOBG6MY4UGGFQWYY&lid=LSTMOBG6MY4UGGFQWYYI8WMJQ&marketplace=FLIPKART&q=Smartphones&store=tyy%2F4io&srno=s_1_14&otracker=search&otracker1=search&fm=SEARCH&iid=080d1fe3-6dbc-478f-97a2-0e341d4f6308.MOBG6MY4UGGFQWYY.SEARCH&ppt=hp&ppn=homepage&ssid=n19k5a2ats0000001634871336575&qH=d2d7ba3c0ae30d4a
realme ,"realme Narzo 50A (Oxygen Green, 64 GB)  (4 GB RAM)",Oxygen Green,4 GB,64 GB,50MP + 2MP + 2MP,8MP Front Camera,16.51 cm (6.5 inch),1600 x 720 Pixels,MediaTek Helio G85,Octa Core,5000 mAh Battery,"Rs. 11,499",https://www.flipkart.com/realme-narzo-50a-oxygen-green-64-gb/p/itm81d679403c2b4?pid=MOBG6MY4X6JDZMGG&lid=LSTMOBG6MY4X6JDZMGG30GLXM&marketplace=FLIPKART&q=Smartphones&store=tyy%2F4io&srno=s_1_15&otracker=search&otracker1=search&fm=SEARCH&iid=080d1fe3-6dbc-478f-97a2-0e341d4f6308.MOBG6MY4X6JDZMGG.SEARCH&ppt=hp&ppn=homepage&ssid=n19k5a2ats0000001634871336575&qH=d2d7ba3c0ae30d4a
OPPO ,"OPPO A53s 5G (Ink Black, 128 GB)  (8 GB RAM)",Ink Black,8 GB,128 GB,13MP + 2MP + 2MP,8MP Front Camera,16.56 cm (6.52 inch),1600 x 720 Pixels,MediaTek Dimensity 700,Octa Core,5000 mAh Battery,"Rs. 17,990",https://www.flipkart.com/oppo-a53s-5g-ink-black-128-gb/p/itm7dd84770173a5?pid=MOBG25PGZWK3HF8D&lid=LSTMOBG25PGZWK3HF8DIFZBJN&marketplace=FLIPKART&q=Smartphones&store=tyy%2F4io&srno=s_1_16&otracker=search&otracker1=search&fm=SEARCH&iid=en_q0ZZOu4WC7ulX98hWuKjiT13rusz1LSWhORSVY8X6Gz4IO2zIfqi2LojFiqEX0yWtaDRKES%2FnL%2Fq3A%2FUiqoOpA%3D%3D&ppt=hp&ppn=homepage&ssid=n19k5a2ats0000001634871336575&qH=d2d7ba3c0ae30d4a
APPLE ,"APPLE iPhone 12 (Purple, 128 GB)",Purple,-,128 GB,12MP + 12MP,12MP Front Camera,15.49 cm (6.1 inch),2532 x 1170 Pixels,A14 Bionic Chip with Next Generation Neural Engine,-,5000 mAh Battery,"Rs. 60,199",https://www.flipkart.com/apple-iphone-12-purple-128-gb/p/itmebc78f1cb26d3?pid=MOBG2EPZK5ZD9KYS&lid=LSTMOBG2EPZK5ZD9KYSDUOOA2&marketplace=FLIPKART&q=Smartphones&store=tyy%2F4io&srno=s_1_17&otracker=search&otracker1=search&fm=SEARCH&iid=080d1fe3-6dbc-478f-97a2-0e341d4f6308.MOBG2EPZK5ZD9KYS.SEARCH&ppt=hp&ppn=homepage&ssid=n19k5a2ats0000001634871336575&qH=d2d7ba3c0ae30d4a
realme ,"realme Narzo 50A (Oxygen Green, 128 GB)  (4 GB RAM)",Oxygen Green,4 GB,128 GB,50MP + 2MP + 2MP,8MP Front Camera,16.51 cm (6.5 inch),1600 x 720 Pixels,MediaTek Helio G85,Octa Core,5000 mAh Battery,"Rs. 12,499",https://www.flipkart.com/realme-narzo-50a-oxygen-green-128-gb/p/itm81d679403c2b4?pid=MOBG6MY4DNG9688H&lid=LSTMOBG6MY4DNG9688HDUZO0K&marketplace=FLIPKART&q=Smartphones&store=tyy%2F4io&srno=s_1_18&otracker=search&otracker1=search&fm=SEARCH&iid=080d1fe3-6dbc-478f-97a2-0e341d4f6308.MOBG6MY4DNG9688H.SEARCH&ppt=hp&ppn=homepage&ssid=n19k5a2ats0000001634871336575&qH=d2d7ba3c0ae30d4a
POCO ,"POCO X3 Pro (Steel Blue, 128 GB)  (6 GB RAM)",Steel Blue,6 GB,128 GB,48MP + 8MP + 2MP + 2MP,20MP Front Camera,16.94 cm (6.67 inch),2400 x 1080 Pixels,Qualcomm Snapdragon 860,Octa Core,5000 mAh Battery,"Rs. 16,999",https://www.flipkart.com/poco-x3-pro-steel-blue-128-gb/p/itm92bc566db15d8?pid=MOBGFKNFXBYGHFHJ&lid=LSTMOBGFKNFXBYGHFHJM8QVIC&marketplace=FLIPKART&q=Smartphones&store=tyy%2F4io&srno=s_1_19&otracker=search&otracker1=search&fm=SEARCH&iid=080d1fe3-6dbc-478f-97a2-0e341d4f6308.MOBGFKNFXBYGHFHJ.SEARCH&ppt=hp&ppn=homepage&ssid=n19k5a2ats0000001634871336575&qH=d2d7ba3c0ae30d4a
OPPO ,"OPPO F19 Pro+ 5G (Space Silver, 128 GB)  (8 GB RAM)",Space Silver,8 GB,128 GB,48MP + 8MP + 2MP + 2MP,16MP Front Camera,16.33 cm (6.43 inch),2400 x 1080 Pixels,MediaTek Dimensity 800U,Octa Core,5000 mAh Battery,"Rs. 25,990",https://www.flipkart.com/oppo-f19-pro-5g-space-silver-128-gb/p/itmd90acf0f30ad6?pid=MOBGFUZ4ARZ5SPGT&lid=LSTMOBGFUZ4ARZ5SPGT9BXTWL&marketplace=FLIPKART&q=Smartphones&store=tyy%2F4io&srno=s_1_20&otracker=search&otracker1=search&fm=SEARCH&iid=en_q0ZZOu4WC7ulX98hWuKjiT13rusz1LSWhORSVY8X6GwHGG9jIK4nTLHnxRhIBAV7LHO2Isnqa9GIRAMoYzUGjA%3D%3D&ppt=hp&ppn=homepage&ssid=n19k5a2ats0000001634871336575&qH=d2d7ba3c0ae30d4a
POCO ,"POCO C3 (Arctic Blue, 32 GB)  (3 GB RAM)",Arctic Blue,3 GB,32 GB,13MP + 2MP + 2MP,5MP Front Camera,16.59 cm (6.53 inch),1600 x 720 Pixels,Mediatek Helio G35,Octa Core,5000 mAh Battery,"Rs. 7,499",https://www.flipkart.com/poco-c3-arctic-blue-32-gb/p/itm815e140cbd2a0?pid=MOBFVQJ5PMVMSJHT&lid=LSTMOBFVQJ5PMVMSJHTM4AH73&marketplace=FLIPKART&q=Smartphones&store=tyy%2F4io&srno=s_1_21&otracker=search&otracker1=search&fm=SEARCH&iid=080d1fe3-6dbc-478f-97a2-0e341d4f6308.MOBFVQJ5PMVMSJHT.SEARCH&ppt=hp&ppn=homepage&ssid=n19k5a2ats0000001634871336575&qH=d2d7ba3c0ae30d4a
realme ,"realme C25Y (Metal Grey, 128 GB)  (4 GB RAM)",Metal Grey,4 GB,128 GB,50MP + 2MP + 2MP,8MP Front Camera,16.51 cm (6.5 inch),1600 x 720 Pixels,Unisoc T610 Octa Core,Octa Core,5000 mAh Battery,"Rs. 11,999",https://www.flipkart.com/realme-c25y-metal-grey-128-gb/p/itmf95661bf92458?pid=MOBG6TGRU4FWSZ2K&lid=LSTMOBG6TGRU4FWSZ2K65ZPPD&marketplace=FLIPKART&q=Smartphones&store=tyy%2F4io&srno=s_1_22&otracker=search&otracker1=search&fm=SEARCH&iid=080d1fe3-6dbc-478f-97a2-0e341d4f6308.MOBG6TGRU4FWSZ2K.SEARCH&ppt=hp&ppn=homepage&ssid=n19k5a2ats0000001634871336575&qH=d2d7ba3c0ae30d4a
realme ,"realme C25Y (Glacier Blue, 128 GB)  (4 GB RAM)",Glacier Blue,4 GB,128 GB,50MP + 2MP + 2MP,8MP Front Camera,16.51 cm (6.5 inch),1600 x 720 Pixels,Unisoc T610 Octa Core,Octa Core,5000 mAh Battery,"Rs. 11,999",https://www.flipkart.com/realme-c25y-glacier-blue-128-gb/p/itmf95661bf92458?pid=MOBG6TGRXC8CUJZN&lid=LSTMOBG6TGRXC8CUJZN99ANME&marketplace=FLIPKART&q=Smartphones&store=tyy%2F4io&srno=s_1_23&otracker=search&otracker1=search&fm=SEARCH&iid=080d1fe3-6dbc-478f-97a2-0e341d4f6308.MOBG6TGRXC8CUJZN.SEARCH&ppt=hp&ppn=homepage&ssid=n19k5a2ats0000001634871336575&qH=d2d7ba3c0ae30d4a
OPPO ,"OPPO Reno6 5G (Aurora, 128 GB)  (8 GB RAM)",Aurora,8 GB,128 GB,64MP + 8MP + 2MP,32MP Front Camera,16.33 cm (6.43 inch),2400 x 1080 Pixels,MediaTek Dimensity 900,Octa Core,5000 mAh Battery,"Rs. 29,990",https://www.flipkart.com/oppo-reno6-5g-aurora-128-gb/p/itmca351c97388b3?pid=MOBG4GFGHHZYUZW8&lid=LSTMOBG4GFGHHZYUZW8J7UKH1&marketplace=FLIPKART&q=Smartphones&store=tyy%2F4io&srno=s_1_24&otracker=search&otracker1=search&fm=SEARCH&iid=en_q0ZZOu4WC7ulX98hWuKjiT13rusz1LSWhORSVY8X6GxF4bGrW%2FgbFoMFL2l4Yymrfy8K1b2XxdUz96XQkNKWNQ%3D%3D&ppt=hp&ppn=homepage&ssid=n19k5a2ats0000001634871336575&qH=d2d7ba3c0ae30d4a
